gene_id	colors
ENSG00000117632.23	brown
ENSG00000117707.16	turquoise
ENSG00000117983.17	turquoise
ENSG00000118194.20	green
ENSG00000118257.17	turquoise
ENSG00000118322.14	blue
ENSG00000118402.6	brown
ENSG00000118432.12	blue
ENSG00000118473.22	blue
ENSG00000118513.19	brown
ENSG00000118523.6	turquoise
ENSG00000118702.9	grey
ENSG00000118733.17	blue
ENSG00000118785.14	grey
ENSG00000118898.16	green
ENSG00000119125.17	turquoise
ENSG00000119147.10	turquoise
ENSG00000119283.15	blue
ENSG00000119457.8	grey
ENSG00000119698.12	turquoise
ENSG00000119888.11	turquoise
ENSG00000120440.15	brown
ENSG00000120471.15	blue
ENSG00000120645.12	brown
ENSG00000120658.13	blue
ENSG00000120885.22	turquoise
ENSG00000120903.13	brown
ENSG00000121064.13	turquoise
ENSG00000121207.12	turquoise
ENSG00000121297.8	turquoise
ENSG00000121570.12	brown
ENSG00000121742.19	turquoise
ENSG00000121898.13	blue
ENSG00000122121.11	brown
ENSG00000122176.12	turquoise
ENSG00000122254.7	grey
ENSG00000122420.10	yellow
ENSG00000122548.5	brown
ENSG00000122592.8	brown
ENSG00000122641.11	yellow
ENSG00000122691.13	turquoise
ENSG00000122733.12	blue
ENSG00000122756.15	turquoise
ENSG00000122852.15	yellow
ENSG00000122870.12	turquoise
ENSG00000123201.14	turquoise
ENSG00000123243.15	turquoise
ENSG00000123364.5	turquoise
ENSG00000123496.8	blue
ENSG00000123500.10	yellow
ENSG00000123560.14	turquoise
ENSG00000123569.8	turquoise
ENSG00000123572.17	turquoise
ENSG00000123610.5	turquoise
ENSG00000123838.11	yellow
ENSG00000123901.9	turquoise
ENSG00000123977.10	blue
ENSG00000124102.5	blue
ENSG00000124107.5	turquoise
ENSG00000124134.9	turquoise
ENSG00000124145.6	turquoise
ENSG00000124159.15	turquoise
ENSG00000124191.18	brown
ENSG00000124205.18	turquoise
ENSG00000124212.6	turquoise
ENSG00000124253.11	blue
ENSG00000124256.15	yellow
ENSG00000124302.13	blue
ENSG00000124429.18	blue
ENSG00000124440.16	turquoise
ENSG00000124493.14	turquoise
ENSG00000124575.7	brown
ENSG00000124678.20	turquoise
ENSG00000124701.5	brown
ENSG00000124749.17	turquoise
ENSG00000124780.14	brown
ENSG00000124875.10	turquoise
ENSG00000125046.15	turquoise
ENSG00000125378.16	turquoise
ENSG00000125398.8	turquoise
ENSG00000125514.9	brown
ENSG00000125533.6	brown
ENSG00000125618.17	grey
ENSG00000125657.5	grey
ENSG00000125675.18	blue
ENSG00000125726.11	yellow
ENSG00000125730.17	turquoise
ENSG00000125740.14	yellow
ENSG00000125816.5	turquoise
ENSG00000125845.7	turquoise
ENSG00000125848.10	turquoise
ENSG00000125850.11	blue
ENSG00000125851.10	turquoise
ENSG00000125869.10	turquoise
ENSG00000125965.9	turquoise
ENSG00000126337.13	grey
ENSG00000126583.11	brown
ENSG00000126603.9	turquoise
