id	filename	md5	size	state
a8cdbbf0-4b35-4fc0-ad03-d11f46237bab	a8cdbbf0-4b35-4fc0-ad03-d11f46237bab/0feebe2b-763a-4ef7-811a-cbe1deafe9f2.wxs.aliquot_ensemble_masked.maf.gz	a38e7802fea7e0b93c313afbee1548f2	28260	validated
ae05a513-1444-4b94-abe9-e7b51445b496	ae05a513-1444-4b94-abe9-e7b51445b496/b94439c5-f147-4b4a-a5f1-2ded7cd2581f.wxs.aliquot_ensemble_masked.maf.gz	2a7e4db0d03c2f070f1c11844c54bdf1	84460	validated
afcbfcb9-3d57-4462-80f7-ba0405db0541	afcbfcb9-3d57-4462-80f7-ba0405db0541/46989933-ea5b-41f5-8841-bd8df6f1adc9.wxs.aliquot_ensemble_masked.maf.gz	24feeff3db391a78d0684c06090a93c8	19198	validated
b2a2af24-5a12-4b48-b66c-33ca2d2cd110	b2a2af24-5a12-4b48-b66c-33ca2d2cd110/a623c7cf-b154-4f7d-9a11-65cdaa1af67c.wxs.aliquot_ensemble_masked.maf.gz	ee4615ad26a6b073d8b1b2ed636b9313	42323	validated
b4ae4fb1-56ee-4e68-b754-4e7adf685a81	b4ae4fb1-56ee-4e68-b754-4e7adf685a81/12a5b48c-5759-40dc-a3c4-3019fa441d3e.wxs.aliquot_ensemble_masked.maf.gz	78f5f3aff0962fb7f1132903f74a0623	11283	validated
b6d6fe10-1074-4ece-ab8c-69c2f2d820ab	b6d6fe10-1074-4ece-ab8c-69c2f2d820ab/d25c1d27-a7a9-4873-ba36-6c65f2a6ae86.wxs.aliquot_ensemble_masked.maf.gz	5cdc7125a1b28161e500956081d3ae62	8518	validated
b70d74d2-72d9-405c-bde7-bb6a077d7a6b	b70d74d2-72d9-405c-bde7-bb6a077d7a6b/4fc40b8a-c54d-4ce3-ba57-94261860a21c.wxs.aliquot_ensemble_masked.maf.gz	7d2e3754f1a53ad5c92bc06a6838e493	19244	validated
b867a860-ac5b-470a-b5a3-dcdb865b0975	b867a860-ac5b-470a-b5a3-dcdb865b0975/4b784d7f-941b-4736-bdcb-a296d9ccd946.wxs.aliquot_ensemble_masked.maf.gz	188589ad2188e308ccb5a73020806e04	11635	validated
c0644d27-a598-467b-bdb9-1af921fef6e8	c0644d27-a598-467b-bdb9-1af921fef6e8/998e75ff-dff9-4c53-b8a1-222bfad7ca50.wxs.aliquot_ensemble_masked.maf.gz	b474a08cba2ba38c2074d6656451e670	307328	validated
c1a21a51-b8b7-453d-932e-2eacbaed8c2d	c1a21a51-b8b7-453d-932e-2eacbaed8c2d/ffe6f874-63fd-4bdc-b285-d724859934cb.wxs.aliquot_ensemble_masked.maf.gz	eb2249a63f6b7f25fb8668b8146bbea4	7463	validated
c508f671-d511-4e04-a955-48e8e6268396	c508f671-d511-4e04-a955-48e8e6268396/bca245d6-09df-48d0-9845-b31a7b4ebf11.wxs.aliquot_ensemble_masked.maf.gz	944ba07b49cdb3dccddf96c19ebe07fc	14071	validated
c6a206bd-ca60-47a5-8338-acace9d4bc55	c6a206bd-ca60-47a5-8338-acace9d4bc55/f2ab022b-086e-491a-b9ff-d4b0a696a5da.wxs.aliquot_ensemble_masked.maf.gz	140d898f0319c6c4208cac6b6cad7c31	15973	validated
c8be6d7e-b71d-4d5f-bc9e-ee36456bab1d	c8be6d7e-b71d-4d5f-bc9e-ee36456bab1d/182ea067-eeed-4989-8529-6c60340144cb.wxs.aliquot_ensemble_masked.maf.gz	9550e3085ffd6eeb50303fa54ec898d0	23185	validated
d0e3a7a6-352a-4fdd-bfbd-40d3a87cf158	d0e3a7a6-352a-4fdd-bfbd-40d3a87cf158/fe37a384-7a0f-4597-8f8b-ac330ae8fe93.wxs.aliquot_ensemble_masked.maf.gz	cb41bdf1ca7a9c605a51984c102a551c	20409	validated
d93c8f32-8a64-4bcc-84e0-55d0349c159a	d93c8f32-8a64-4bcc-84e0-55d0349c159a/786697d0-192f-4d40-9c85-a5b31b7b7a7e.wxs.aliquot_ensemble_masked.maf.gz	f83287897d58795852e9e30ed217b450	10287	validated
dd3d5f2e-7144-46cb-8977-327157cafcee	dd3d5f2e-7144-46cb-8977-327157cafcee/a0a719b1-a60b-40d9-a64c-ab59b67729c4.wxs.aliquot_ensemble_masked.maf.gz	df5fd798b46244d077d7871966526949	5306	validated
de3044bb-3fd0-4507-b207-d78c27b0c30e	de3044bb-3fd0-4507-b207-d78c27b0c30e/19002b3e-370c-42e5-80e3-b7634cda5ff7.wxs.aliquot_ensemble_masked.maf.gz	5b487b9438191d6d3b648aac5dd36128	33400	validated
df80e2a1-bf40-480c-bfca-35b867b5c750	df80e2a1-bf40-480c-bfca-35b867b5c750/68cd8f80-6e62-4d6c-8473-6eba14e52b4e.wxs.aliquot_ensemble_masked.maf.gz	94ce9a307dbb92a8084e1ecf74a60478	14567	validated
e9af4ef4-6734-43f7-877e-e67b626ec785	e9af4ef4-6734-43f7-877e-e67b626ec785/5cafbd32-22e8-4627-8cc5-af88a7a4de2d.wxs.aliquot_ensemble_masked.maf.gz	613b0367f8df8dbab69359c8884735bb	21976	validated
ea268d89-c218-4517-bcce-8eb3a1ac5bf8	ea268d89-c218-4517-bcce-8eb3a1ac5bf8/e5352cae-c74d-4f86-8061-cae59a48d13e.wxs.aliquot_ensemble_masked.maf.gz	507e628d796a81961f45255e7dfd6018	21474	validated
edcfa0b8-2e3c-49da-b9a9-7ddf7b5de1e0	edcfa0b8-2e3c-49da-b9a9-7ddf7b5de1e0/b8b10bcc-7c56-4b06-9f71-ad4ee9ce26dc.wxs.aliquot_ensemble_masked.maf.gz	cb8b0b83ff12d532470628750c315749	9940	validated
eee2fc90-c8cf-4ce3-a9c8-daebcfdce32f	eee2fc90-c8cf-4ce3-a9c8-daebcfdce32f/52c02253-5e48-4727-b3ca-334df74d9c3d.wxs.aliquot_ensemble_masked.maf.gz	cf790ad2764b23b6ec349c0e8057b1be	10370	validated
efe97231-aa04-443b-ac51-5bb182f9a085	efe97231-aa04-443b-ac51-5bb182f9a085/2fb2e4e5-0585-48ab-a00d-68f8354a7268.wxs.aliquot_ensemble_masked.maf.gz	2377772bd58488bb53990b5e47eca1c1	15334	validated
f47d8ddc-4711-456e-9068-d0045e3f124a	f47d8ddc-4711-456e-9068-d0045e3f124a/f69056d4-13a4-43ed-b5aa-47cfb019cbbc.wxs.aliquot_ensemble_masked.maf.gz	2c3202ce4917c185411a8522366923ef	75359	validated
f4df982e-ba6b-4ed5-bc64-282f499eabe6	f4df982e-ba6b-4ed5-bc64-282f499eabe6/f91ef349-2b32-4010-bf30-7ba8e8be0842.wxs.aliquot_ensemble_masked.maf.gz	2dd9f410fe2cab97ad1c4be6efee735f	3647	validated
f8bea3d2-43a2-4d64-b710-5c99f9a66eb4	f8bea3d2-43a2-4d64-b710-5c99f9a66eb4/f88685b7-0044-4d8e-ac7c-f9a232fb6d5d.wxs.aliquot_ensemble_masked.maf.gz	4e6ad086bddb30006644c2c74c25f14f	24205	validated
faad600f-bfb1-416c-b7be-42c7cc337ecc	faad600f-bfb1-416c-b7be-42c7cc337ecc/56c76b67-01b6-4d92-92e2-b4c8db7feb67.wxs.aliquot_ensemble_masked.maf.gz	8590274dbdcbb7677e8d1a581be9559a	4318	validated
fcdcb229-f19b-4b94-b4f9-ab943327c47e	fcdcb229-f19b-4b94-b4f9-ab943327c47e/fb9f863b-0c56-465c-88f0-03ec66dadd72.wxs.aliquot_ensemble_masked.maf.gz	d4ad29dd347eeaab4df64552b7eeb01f	32310	validated
fedbd135-d8a1-4857-83f1-1b5e252c0d81	fedbd135-d8a1-4857-83f1-1b5e252c0d81/65e44737-6499-4f22-b3c3-e3634c3f6e2b.wxs.aliquot_ensemble_masked.maf.gz	53e3f585ab6846fce580967b84ee5406	83221	validated
