"Gene_Name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"TULP2","ENSG00000104804.8",13.9562755695175,-0.73229171820787,0.0687029593847731,-10.6588089474668,1.58615688569996e-26,2.41093463859465e-26,"Up in Cluster 4"
"KLHL41","ENSG00000239474.7",17.8702031219142,0.536555459066471,0.0503506300551821,10.656380237515,1.62811398785332e-26,2.47457604022921e-26,"Up in Cluster 7"
"FAAHP1","ENSG00000232022.7",34.6475614026567,0.616782186828435,0.0578925749908607,10.6539083280681,1.67194715533586e-26,2.54106189892282e-26,"Up in Cluster 7"
"AC009812.3","ENSG00000254162.1",23.5043888928826,0.517061296809077,0.0485342927270436,10.6535249151981,1.67885004382982e-26,2.55114249043889e-26,"Up in Cluster 7"
"AL009178.2","ENSG00000269155.2",32.9665280312824,-0.666278049421671,0.0625490333758067,-10.6520918623721,1.7049015196019e-26,2.59031291638555e-26,"Up in Cluster 4"
"FLJ42393","ENSG00000279891.1",12.9576714917672,-1.08703250673391,0.102049362661764,-10.6520264152635,1.70610080535302e-26,2.59199602726601e-26,"Up in Cluster 4"
"MATN3","ENSG00000132031.13",203.593378420965,-0.654797507382761,0.0614729229903233,-10.6518036808797,1.71018857245567e-26,2.59806705165111e-26,"Up in Cluster 4"
"AL133482.1","ENSG00000286289.1",17.7247269471717,0.705648068814008,0.0662684249172148,10.6483301767853,1.77520751802072e-26,2.69655268849096e-26,"Up in Cluster 7"
"RPSAP58","ENSG00000225178.5",235.903915295321,-0.581471405340646,0.0546096254454804,-10.647782338686,1.7856836126713e-26,2.71217511556268e-26,"Up in Cluster 4"
"FOLH1B","ENSG00000134612.12",27.4725056908904,-1.13999358371814,0.107086277967544,-10.6455617410071,1.82877864672456e-26,2.7773319667839e-26,"Up in Cluster 4"
"MC4R","ENSG00000166603.5",6.41791554668169,1.24065365182972,0.116558692992299,10.6440250828113,1.85920255573982e-26,2.82338484169516e-26,"Up in Cluster 7"
