source	target	weight	module1	module2
PPP1R3A	YIPF7	0.9519756646142138	black	black
PPP1R3A	STYXL2	0.9519086832148909	black	black
ASB5	SLN	0.9518779399351642	black	black
CKM	SLN	0.951864438152369	black	black
GIMAP4	GIMAP7	0.9518539478832844	blue	blue
ACTN2	MYOT	0.951853204084203	black	black
HAVCR2	TYROBP	0.9518501996850264	blue	blue
CACNA1S	CASQ2	0.9518450162863196	black	black
KLHL41	UNC45B	0.9518015450063303	black	black
HSPB7	MYOZ1	0.9517820941001773	black	black
C10orf71	TRDN	0.9517648397392393	black	black
CACNG1	HHATL	0.9517018537295743	black	black
CAV3	KLHL41	0.9515668672615821	black	black
MYO1F	WAS	0.9515662298947841	blue	blue
ATP1B4	CAVIN4	0.9515462127634784	black	black
MYH7	NRAP	0.9515434307958548	black	black
ARPP21	ATP1A2	0.9515431077985453	black	black
ATP1B4	MYBPH	0.9515405740393136	black	black
ATP1A2	CTNNA3	0.9515366864993204	black	black
AL136379.1	FAM96AP2	0.9514990843055859	red	red
KLHL41	MYH2	0.9514935570858596	black	black
HSPB7	TNNI1	0.9514838923459973	black	black
CAV3	NMRK2	0.9514811199042083	black	black
CD2	CXCR6	0.9514533972991596	blue	blue
STAC3	YIPF7	0.9514360568244393	black	black
BEST3	CHRND	0.9513950961996716	black	black
ACTC1	MYLPF	0.9513851962971869	black	black
MYL2	MYLPF	0.9513716206035131	black	black
DES	HJV	0.9513465887527418	black	black
AC068506.1	YIPF7	0.951339432586634	black	black
PTPRC	SASH3	0.9512981177216037	blue	blue
ARHGAP15	CD48	0.9512869439216105	blue	blue
MYOG	MYPN	0.9512654720085985	black	black
COX6A2	MYOZ1	0.9512607767550308	black	black
MYOZ2	TNNI1	0.9512561891143999	black	black
ASB5	MYL2	0.9512538726625213	black	black
AC068506.1	TMOD4	0.9512352393222874	black	black
CKM	MYOZ1	0.95114077989182	black	black
HRC	PPP1R3A	0.951104594789856	black	black
APOBEC2	PPP1R3A	0.9511014440632709	black	black
ASB5	TNNC1	0.951089611174702	black	black
CACNA1S	SLN	0.9510891530327648	black	black
CYBB	LAIR1	0.9510551588270604	blue	blue
ANKRD1	MYOG	0.9510548302070455	black	black
MYPN	TTN	0.9509714351668409	black	black
APOBEC2	LDB3	0.950922388384281	black	black
CHRNA1	MYF6	0.9509042328380879	black	black
MYBPC2	MYPN	0.9508820102109835	black	black
HSPB7	SLN	0.9508797017219365	black	black
ACTC1	CACNA1S	0.9508794086340769	black	black
HRC	SLN	0.9508745407549408	black	black
AC115522.1	LYPD5	0.9508687841086906	pink	pink
CAVIN4	SMYD1	0.9508342414878269	black	black
EVI2B	IL10RA	0.9508058129726624	blue	blue
C10orf71	MYL2	0.9507600272296205	black	black
APOBEC2	HSPB7	0.9507532718275126	black	black
LMOD3	YIPF7	0.9507357367301495	black	black
ACTC1	CACNG1	0.9507038848205619	black	black
ANKRD1	MYBPH	0.9506889656906558	black	black
CACNG6	NMRK2	0.9506173336373687	black	black
LMOD2	MYBPH	0.9506108993115893	black	black
KLHL41	TTN	0.9506107617805225	black	black
ATP1B4	HRC	0.9505750092275417	black	black
ARPP21	TNNC1	0.9505344945153092	black	black
ACTC1	MYL2	0.9505057897811455	black	black
MS4A6A	RNASE6	0.950449831026676	blue	blue
CD53	CYBB	0.9504168327322566	blue	blue
HRC	MIR1-1HG	0.9503658205831388	black	black
MYOT	STYXL2	0.9503154516462554	black	black
APOBEC2	MYF6	0.9503105927873997	black	black
PPP1R1A	TMOD4	0.9502993817450995	black	black
ASB5	MYH1	0.9502990429705566	black	black
CD74	HLA-DMB	0.9502879084183784	blue	blue
TMOD4	YIPF7	0.9502748349437737	black	black
C10orf71	COX6A2	0.9502666710360903	black	black
MYBPH	STYXL2	0.9502644703297735	black	black
HLA-DPB1	HLA-DRA	0.9502473830256658	blue	blue
