Gene,Mean,Variance,CV
ENSG00000101460.13,9.811652029886076,1.8453990934314481,0.13845320512401532
ENSG00000101463.6,3.256492798490584,1.8399642084099561,0.4165379405213179
ENSG00000101464.11,10.235245641288563,0.4519352952948474,0.06568101569565371
ENSG00000101470.10,4.248972684801123,0.9544529501545157,0.22992877375623566
ENSG00000101473.17,9.62450208801955,0.29165748599302516,0.056112328742751245
ENSG00000101474.12,13.418964441384569,0.8208779875645599,0.06751811405465812
ENSG00000101489.20,3.6568510340367837,1.560490835849656,0.3416043104285947
ENSG00000101493.11,9.40241172470818,0.370326542008096,0.06472218272591213
ENSG00000101542.10,2.7925465816495127,0.386078822376433,0.22250386728632035
ENSG00000101544.9,9.248179276101245,0.31167349048927573,0.06036617972909708
ENSG00000101546.13,8.942399955284936,0.44642511607445834,0.07471713660390844
ENSG00000101557.15,11.180423307476822,0.2268702286706663,0.04260205095630999
ENSG00000101558.14,12.232408500706377,0.21232018905228783,0.03766896349209885
ENSG00000101574.15,7.892483591148794,0.242541871743104,0.06239929381935696
ENSG00000101577.10,12.537383752505024,1.201704904133389,0.08743634550530976
ENSG00000101596.16,9.861891485458058,0.39212341491979635,0.06349670197569736
ENSG00000101605.13,10.110458639919283,3.7194720619408117,0.19075230456523956
ENSG00000101608.13,12.600872183603496,0.3858700325592664,0.049296935150573117
ENSG00000101624.11,7.37104643834672,0.33603184560142935,0.07864318092231457
ENSG00000101638.14,3.543897133030312,0.9935332151876871,0.2812613701226153
ENSG00000101639.18,8.80632831802921,0.6166365290255279,0.08917020218776962
ENSG00000101654.18,9.884301731792034,0.27136836938318254,0.05270279139435847
ENSG00000101665.9,8.73568878751754,0.8185386696957869,0.10356725054337172
ENSG00000101670.12,10.035861397211972,3.042062423919727,0.17379184991968738
ENSG00000101680.15,4.182007406412263,4.246263608750241,0.49274097468146927
ENSG00000101695.9,8.077284113799712,1.9906944676620315,0.17467749111626799
ENSG00000101745.17,9.814058685645014,0.3589097385438306,0.06104413872432267
ENSG00000101746.15,3.349676067338935,2.1337910709007786,0.4360869960721029
ENSG00000101751.10,8.198070627965503,0.5308455160020059,0.0888735280958457
