project_id,gene_id,gene_name,mean_expression,median_expression,sd_expression,n_samples,comparison_type,mean_normal,mean_tumor,median_normal,median_tumor,log2fc,p_value,padj,n_normal,n_tumor
TCGA-BRCA,ENSG00000135924.16,DNAJB2,NA,NA,NA,NA,normal_vs_tumor,5838.750219718004,6129.264674340539,5813.102911534168,5619.892251565471,0.07003368129661643,0.23575964082653347,0.23575964082653347,113,1111
TCGA-BRCA,ENSG00000144381.18,HSPD1,NA,NA,NA,NA,normal_vs_tumor,17635.601736878096,21774.69021046033,17280.50713702376,19541.121599351045,0.3041815745494981,3.700475713108886e-8,9.045607298710612e-8,113,1111
TCGA-BRCA,ENSG00000146731.11,CCT6A,NA,NA,NA,NA,normal_vs_tumor,9934.977892594758,14358.755077534755,9915.374111165826,12375.682863862388,0.4890701581161117,2.6575645747533623e-18,9.744403440762328e-18,113,1111
TCGA-BRCA,ENSG00000152137.8,HSPB8,NA,NA,NA,NA,normal_vs_tumor,5138.255372149639,2933.1521654811913,4338.950694522192,1186.5534090667954,-0.808799634294409,1.343547221393743e-6,2.955803887066235e-6,113,1111
TCGA-BRCA,ENSG00000164284.15,GRPEL2,NA,NA,NA,NA,normal_vs_tumor,1201.1507011999665,1375.9245541774374,1246.933322240705,1271.8269222761267,0.19536738499293782,2.7005527880804965e-5,4.24372580984078e-5,113,1111
TCGA-BRCA,ENSG00000166855.9,CLPX,NA,NA,NA,NA,normal_vs_tumor,3895.472580637244,2979.3984233087,3844.545849133304,2862.2814719589637,-0.38693788110662375,4.1942790022258136e-17,1.3182019721281127e-16,113,1111
TCGA-BRCA,ENSG00000173641.18,HSPB7,NA,NA,NA,NA,normal_vs_tumor,8596.621948490218,245.81525582974535,3542.8582740998154,110.01988566883182,-5.128715696007872,2.535766064782319e-215,5.578685342521101e-214,113,1111
TCGA-BRCA,ENSG00000205138.4,SDHAF1,NA,NA,NA,NA,normal_vs_tumor,566.405806553916,674.2826235401533,539.3020341631612,588.3683112353237,0.25122403709732755,1.2099784040677364e-4,1.7746349926326798e-4,113,1111
TCGA-BRCA,ENSG00000205981.8,DNAJC19,NA,NA,NA,NA,normal_vs_tumor,1727.3913375494237,2089.839735435967,1714.7308357357847,1849.6522269912664,0.2746076763037954,5.386683092020587e-6,9.115925232650223e-6,113,1111
TCGA-BRCA,ENSG00000213221.5,DNLZ,NA,NA,NA,NA,normal_vs_tumor,7.36169271305302,10.04674538407613,6.6417877297967385,6.4804409363106155,0.41550665104032497,0.001588674683978685,0.0020559319439724163,113,1111
TCGA-CESC,ENSG00000080824.19,HSP90AA1,NA,NA,NA,NA,normal_vs_tumor,42843.76202890964,71025.6033653338,43031.908359780624,67333.52879440415,0.7292567579790528,0.010041064487347623,0.055225854680411926,3,304
TCGA-CESC,ENSG00000096384.20,HSP90AB1,NA,NA,NA,NA,normal_vs_tumor,90789.58269099458,65554.4775391228,90482.62285555158,61523.75570647373,-0.4698326422556089,0.1216767853479669,0.29743214196169687,3,304
