gene_id,module
AC007750.1,green
AC007773.1,red
AC007785.1,white
AC007785.3,brown
AC007786.1,darkred
AC007787.2,yellow
AC007834.1,magenta
AC007834.2,red
AC007842.1,lightsteelblue1
AC007846.1,grey
AC007848.1,grey
AC007849.1,lightyellow
AC007877.1,blue
AC007878.1,yellow
AC007881.3,magenta
AC007881.4,yellow
AC007906.2,bisque4
AC007919.1,grey
AC007920.2,green
AC007938.1,brown
AC007938.3,brown
AC007952.2,grey
AC007952.4,black
AC007991.2,blue
AC007991.4,blue
AC007993.3,grey
AC007996.1,grey
AC007998.3,green
AC007998.4,orange
AC008011.2,grey
AC008013.1,turquoise
AC008013.3,brown
AC008026.1,greenyellow
AC008033.3,blue
AC008038.1,greenyellow
AC008040.1,purple
AC008073.1,grey
AC008073.3,grey
AC008074.2,turquoise
AC008080.4,plum1
AC008083.2,paleturquoise
AC008083.3,blue
AC008105.1,brown
AC008105.2,brown
AC008105.3,blue
AC008114.1,grey
AC008115.2,grey
AC008115.3,tan
AC008115.4,black
AC008119.1,yellow
AC008124.1,magenta
AC008147.2,yellow
AC008147.3,lightyellow
AC008149.2,blue
AC008267.3,brown
AC008269.1,turquoise
AC008278.1,thistle1
AC008280.2,black
AC008397.1,salmon4
AC008397.2,salmon4
AC008403.3,blue
AC008406.3,turquoise
AC008429.1,grey
AC008429.2,greenyellow
AC008434.1,yellow
AC008443.2,orange
AC008443.3,grey
AC008443.5,yellow
AC008443.7,saddlebrown
AC008453.2,grey
AC008464.1,grey
AC008467.1,brown
AC008481.1,grey
AC008496.3,turquoise
AC008498.1,cyan
AC008507.1,lightgreen
AC008514.1,turquoise
AC008514.2,turquoise
AC008537.2,grey
AC008537.3,lightyellow
AC008537.4,brown
AC008543.1,thistle1
AC008543.3,brown
AC008543.4,grey
AC008555.1,royalblue
AC008555.2,yellow
AC008555.4,grey
AC008555.6,turquoise
AC008556.1,turquoise
AC008592.4,grey
AC008608.2,darkred
AC008610.1,brown
AC008619.1,turquoise
AC008622.2,floralwhite
AC008649.1,magenta
AC008663.1,paleturquoise
AC008663.2,lightcyan1
AC008676.1,blue
AC008676.3,green
AC008687.2,violet
AC008687.3,turquoise
AC008687.4,midnightblue
AC008691.1,purple
AC008703.1,turquoise
AC008735.1,yellow
AC008735.2,yellow
AC008735.4,yellow
AC008736.1,grey
AC008737.1,yellow
AC008738.2,grey
AC008750.2,grey
AC008750.4,yellow
AC008752.2,darkred
AC008752.3,brown
AC008753.1,greenyellow
AC008758.4,thistle1
AC008759.2,brown
AC008759.3,turquoise
AC008760.1,brown
AC008760.2,steelblue
AC008763.1,brown
AC008764.2,yellow
AC008764.6,brown
AC008764.8,brown
AC008770.3,yellow
AC008771.1,grey
AC008802.1,greenyellow
AC008808.2,brown
AC008840.1,grey
AC008870.5,pink
AC008875.1,brown
AC008875.2,blue
AC008875.3,grey
AC008883.3,grey
AC008894.2,yellow
AC008894.3,lightgreen
AC008897.1,yellow
AC008897.3,red
AC008906.1,yellow
AC008906.2,brown
AC008915.2,turquoise
AC008937.3,steelblue
AC008945.2,grey
AC008946.1,grey
AC008957.1,blue
AC008957.3,yellow
AC008966.1,grey
AC008966.2,grey
AC008966.3,turquoise
AC008969.1,royalblue
AC008972.1,blue
AC008972.2,blue
AC008982.2,yellow
AC009005.1,turquoise
AC009041.1,blue
AC009041.3,red
AC009053.1,red
AC009053.3,lightgreen
AC009054.2,grey
AC009061.2,brown
AC009065.2,grey
AC009065.4,lightgreen
AC009065.5,grey
AC009065.8,grey
AC009078.3,midnightblue
AC009084.2,yellow
AC009088.1,lightgreen
AC009090.4,yellow
AC009090.6,yellow
AC009093.1,green
AC009093.2,green
AC009093.3,purple
AC009093.6,blue
AC009097.2,brown
AC009107.2,yellow
AC009108.3,magenta
AC009113.1,magenta
AC009119.1,blue
AC009120.1,brown
AC009120.2,brown
AC009120.3,yellow
AC009120.5,brown
AC009121.2,yellow
AC009121.3,magenta
AC009123.1,turquoise
AC009133.1,brown
AC009133.3,blue
AC009139.1,darkmagenta
AC009145.4,lightgreen
AC009148.1,brown
AC009154.1,pink
AC009159.1,brown
AC009159.2,blue
AC009159.3,brown
AC009163.7,magenta
AC009171.2,magenta
AC009220.3,grey
AC009226.1,maroon
AC009228.1,steelblue
AC009236.1,turquoise
AC009237.14,lightcyan1
AC009237.15,turquoise
AC009237.3,turquoise
AC009237.8,lightcyan
AC009242.1,brown
AC009244.1,lightcyan1
AC009245.1,greenyellow
AC009262.1,darkturquoise
AC009264.1,orange
AC009268.2,darkorange
AC009269.4,purple
AC009269.5,black
AC009271.1,darkturquoise
AC009271.2,darkturquoise
AC009275.1,grey
AC009283.1,brown
AC009292.1,magenta
AC009301.1,plum1
AC009309.1,blue
AC009312.1,grey
AC009315.1,sienna3
AC009318.1,yellow
AC009318.4,lightgreen
AC009336.1,violet
AC009403.2,grey
AC009404.1,red
AC009407.1,pink
AC009486.2,red
AC009495.3,grey
AC009501.2,darkorange
AC009506.1,magenta
AC009509.1,paleturquoise
AC009509.4,bisque4
AC009533.1,yellow
AC009533.2,brown
AC009542.1,grey
AC009549.1,grey
AC009554.2,turquoise
AC009560.1,magenta
AC009570.1,magenta
AC009570.2,tan
AC009630.1,brown4
AC009630.4,brown4
AC009652.1,brown
AC009686.2,grey
AC009690.1,yellow
AC009704.2,black
AC009716.1,grey
AC009731.1,darkgrey
AC009754.1,grey
AC009779.3,brown
AC009802.1,grey
AC009806.1,brown
AC009812.1,darkred
AC009812.3,turquoise
AC009812.4,turquoise
AC009831.1,lightcyan
AC009831.2,salmon
AC009878.1,green
AC009879.3,brown
AC009902.2,turquoise
AC009902.3,magenta
AC009948.1,darkgrey
AC009948.2,darkgrey
AC009950.1,yellow
AC009951.6,grey
AC009955.2,turquoise
AC009961.1,grey
AC009961.3,salmon
AC009962.1,grey
AC009970.1,red
AC009974.1,blue
AC010092.1,grey
AC010148.1,darkturquoise
AC010149.1,blue
AC010168.1,salmon
AC010168.2,blue
AC010173.1,darkslateblue
AC010175.1,blue
AC010184.1,turquoise
AC010186.2,blue
AC010186.3,grey
AC010198.2,midnightblue
AC010201.1,brown
AC010201.2,brown
AC010203.1,yellow
AC010203.2,turquoise
AC010207.1,white
AC010210.1,brown
AC010226.1,blue
AC010245.2,brown
AC010247.1,blue
AC010247.2,blue
AC010255.1,green
AC010255.2,green
AC010271.1,yellow
AC010271.2,darkred
AC010273.2,grey
AC010273.3,thistle2
AC010275.1,orange
AC010280.1,darkturquoise
AC010280.2,darkturquoise
AC010285.3,grey
AC010300.1,royalblue
AC010307.2,grey
AC010307.4,violet
AC010319.1,blue
AC010319.3,skyblue3
AC010320.3,royalblue
AC010326.3,lightsteelblue1
AC010326.4,lightsteelblue1
AC010327.4,midnightblue
AC010327.6,yellow
AC010327.8,lightyellow
AC010328.1,grey
AC010329.1,grey
AC010331.1,darkred
AC010332.1,royalblue
AC010332.3,royalblue
AC010336.7,grey
AC010342.1,grey60
AC010343.1,greenyellow
AC010343.3,darkturquoise
AC010378.1,royalblue
AC010422.2,lightgreen
AC010422.4,grey
AC010422.8,yellow
AC010457.1,green
AC010469.1,red
AC010478.1,turquoise
AC010487.1,black
AC010491.1,brown
AC010491.2,grey
AC010501.2,salmon
AC010503.4,black
AC010519.1,violet
AC010524.1,turquoise
AC010531.3,yellow
AC010531.5,red
AC010531.6,darkred
AC010536.1,darkred
AC010536.2,grey
AC010538.1,grey
AC010542.5,brown
AC010547.1,brown
AC010547.2,pink
AC010595.1,orange
AC010608.2,turquoise
AC010615.1,royalblue
AC010615.2,royalblue
AC010623.1,brown
AC010624.1,darkred
AC010624.2,lightcyan1
AC010624.3,yellow
AC010624.5,grey
AC010632.1,lightsteelblue1
AC010641.2,yellowgreen
AC010642.1,yellow
AC010643.1,grey
AC010654.1,magenta
AC010677.1,royalblue
AC010680.2,grey
AC010680.5,brown
AC010719.1,brown
AC010731.1,purple
AC010735.1,midnightblue
AC010735.2,midnightblue
AC010754.1,grey
AC010761.3,yellow
AC010761.4,yellow
AC010789.1,darkorange2
AC010789.2,darkorange2
AC010809.2,grey
AC010834.2,magenta
AC010834.3,yellow
AC010864.1,brown
AC010883.1,lightgreen
AC010883.2,blue
AC010894.1,orange
AC010894.2,darkturquoise
AC010894.4,brown
AC010896.1,turquoise
AC010904.2,green
AC010913.1,darkred
AC010931.1,green
AC010967.1,grey
AC010969.1,grey
AC010969.2,lightgreen
AC010969.3,grey
AC010970.1,grey60
AC010973.1,yellow
AC010976.1,yellow
AC010976.2,green
AC010980.1,salmon
AC010996.1,brown
AC010997.4,brown
AC010998.2,yellow
AC010998.3,turquoise
AC011005.1,greenyellow
AC011005.4,salmon
AC011008.2,grey
AC011029.1,orange
AC011092.3,turquoise
AC011199.1,lightgreen
AC011239.1,darkolivegreen
AC011239.2,green
AC011247.1,blue
AC011287.1,darkturquoise
AC011290.2,yellow
AC011294.1,cyan
AC011298.1,pink
AC011317.1,grey
AC011322.1,skyblue
AC011330.1,yellow
AC011330.2,brown
AC011337.1,red
AC011346.1,orange
AC011352.1,grey
