gene_id,module
AC007663.3,lightyellow
AC007663.4,brown
AC007666.2,grey
AC007671.1,blue
AC007681.1,orange
AC007683.1,darkturquoise
AC007684.2,yellow
AC007686.1,grey
AC007686.3,brown
AC007686.4,grey
AC007688.2,darkturquoise
AC007695.1,black
AC007728.2,turquoise
AC007728.3,pink
AC007731.1,black
AC007743.1,lightgreen
AC007750.1,purple
AC007773.1,green
AC007785.1,grey
AC007785.3,green
AC007786.1,floralwhite
AC007786.2,floralwhite
AC007786.4,darkred
AC007787.2,black
AC007834.1,ivory
AC007834.2,skyblue
AC007842.1,green
AC007846.1,salmon
AC007848.1,brown
AC007849.1,darkred
AC007877.1,turquoise
AC007878.1,black
AC007879.2,yellow
AC007879.3,pink
AC007881.4,black
AC007906.2,red
AC007907.1,grey60
AC007919.1,green
AC007920.2,blue
AC007923.1,grey
AC007938.1,grey
AC007938.3,brown
AC007950.1,yellow
AC007952.4,paleturquoise
AC007953.1,pink
AC007991.2,turquoise
AC007991.4,turquoise
AC007993.3,yellow
AC007996.1,turquoise
AC007998.3,turquoise
AC007998.4,yellow
AC008011.2,pink
AC008013.1,tan
AC008014.1,red
AC008026.1,darkturquoise
AC008033.3,turquoise
AC008035.1,tan
AC008038.1,saddlebrown
AC008040.1,lightgreen
AC008050.1,blue
AC008055.2,cyan
AC008060.1,salmon
AC008073.1,grey
AC008074.2,lightcyan1
AC008079.1,brown
AC008083.2,green
AC008083.3,red
AC008105.1,brown
AC008105.2,darkred
AC008105.3,turquoise
AC008114.1,grey
AC008115.3,black
AC008115.4,grey
AC008119.1,black
AC008121.2,green
AC008124.1,purple
AC008132.1,black
AC008147.1,black
AC008147.2,black
AC008147.3,green
AC008149.2,grey
AC008163.1,orangered4
AC008180.3,black
AC008267.3,brown
AC008269.1,grey
AC008280.2,brown
AC008393.1,lightyellow
AC008397.2,brown
AC008403.3,skyblue
AC008406.3,pink
AC008417.1,black
AC008443.2,lightcyan
AC008443.3,pink
AC008443.4,lightyellow
AC008443.5,lightcyan
AC008453.2,turquoise
AC008464.1,darkred
AC008467.1,lightgreen
AC008481.1,darkturquoise
AC008496.2,grey
AC008496.3,grey
AC008498.1,darkmagenta
AC008507.1,green
AC008507.4,grey
AC008514.1,blue
AC008514.2,grey
AC008517.1,orangered4
AC008532.1,royalblue
AC008537.2,royalblue
AC008537.3,royalblue
AC008537.4,brown
AC008543.1,green
AC008543.3,black
AC008543.4,purple
AC008554.1,darkgreen
AC008555.1,royalblue
AC008555.2,royalblue
AC008555.3,brown
AC008555.4,brown
AC008555.6,pink
AC008556.1,pink
AC008567.3,darkslateblue
AC008568.1,royalblue
AC008591.1,cyan
AC008592.1,grey
AC008592.4,pink
AC008608.2,lightyellow
AC008610.1,brown
AC008622.2,thistle2
AC008655.2,brown
AC008663.1,grey60
AC008663.2,darkslateblue
AC008676.1,turquoise
AC008676.3,blue
AC008679.1,yellow
AC008687.2,black
AC008687.3,pink
AC008687.4,salmon
AC008687.6,pink
AC008691.1,grey
AC008700.1,purple
AC008708.1,pink
AC008708.2,purple
AC008731.1,black
AC008735.1,brown
AC008735.2,brown
AC008735.4,brown
AC008736.1,ivory
AC008736.2,grey
AC008737.1,black
AC008738.2,yellow
AC008738.6,yellow
AC008739.2,darkgreen
AC008750.2,yellowgreen
AC008750.4,black
AC008752.1,yellow
AC008752.2,green
AC008752.3,darkred
AC008753.1,darkturquoise
AC008758.4,yellow
AC008759.1,yellow
AC008759.2,red
AC008759.3,darkred
AC008760.1,midnightblue
AC008760.2,purple
AC008763.1,brown
AC008764.2,black
AC008764.6,brown
AC008764.8,brown
AC008764.9,green
AC008770.3,brown
AC008771.1,yellow
AC008780.1,green
AC008798.2,green
AC008808.2,yellowgreen
AC008825.1,lightcyan
AC008840.1,grey
AC008870.2,brown
AC008870.5,red
AC008875.1,midnightblue
AC008875.2,green
AC008875.3,green
AC008883.3,grey
AC008894.2,brown
AC008894.3,brown
AC008897.1,black
AC008897.3,grey
AC008906.1,black
AC008906.2,grey
AC008915.2,pink
AC008945.2,grey60
AC008946.1,lightyellow
AC008957.1,turquoise
AC008957.3,black
AC008964.1,turquoise
AC008966.1,grey
AC008966.3,green
AC008969.1,darkgreen
AC008969.2,green
AC008982.2,black
AC009005.1,green
AC009041.1,turquoise
AC009041.3,green
AC009053.3,cyan
AC009054.2,black
AC009060.1,cyan
AC009061.2,floralwhite
AC009065.2,magenta
AC009065.4,brown
AC009065.5,magenta
AC009065.8,brown
AC009078.2,grey
AC009078.3,grey
AC009081.1,magenta
AC009084.2,brown
AC009088.1,brown
AC009090.1,black
AC009090.4,black
AC009090.6,black
AC009093.1,blue
AC009093.2,blue
AC009093.3,grey
AC009093.4,darkorange
AC009093.6,turquoise
AC009093.8,blue
AC009097.2,brown
AC009102.2,blue
AC009107.2,brown
AC009108.3,salmon
AC009113.1,lightyellow
AC009119.1,turquoise
AC009120.1,green
AC009120.2,brown
AC009120.3,black
AC009120.5,brown
AC009121.2,red
AC009121.3,green
AC009123.1,tan
AC009126.1,lightyellow
AC009133.1,brown
AC009133.3,turquoise
AC009139.1,royalblue
AC009145.4,brown
