chaperone_ensembl,chaperone_gene_name,chaperone_uniprot,interactor_ensembl,interactor_gene_name,interactor_uniprot
ENSG00000146731,CCT6A,P40227,ENSG00000135821,GLUL,P15104
ENSG00000146731,CCT6A,P40227,ENSG00000103168,TAF1C,Q15572
ENSG00000146731,CCT6A,P40227,ENSG00000037474,NSUN2,Q08J23
ENSG00000146731,CCT6A,P40227,ENSG00000130811,EIF3G,O75821
ENSG00000146731,CCT6A,P40227,ENSG00000142655,PEX14,O75381
ENSG00000146731,CCT6A,P40227,ENSG00000179776,CDH5,P33151
ENSG00000146731,CCT6A,P40227,ENSG00000110367,DDX6,P26196
ENSG00000146731,CCT6A,P40227,ENSG00000165732,DDX21,Q9NR30
ENSG00000146731,CCT6A,P40227,ENSG00000108788,MLX,Q9UH92
ENSG00000146731,CCT6A,P40227,ENSG00000162692,VCAM1,P19320
ENSG00000146731,CCT6A,P40227,ENSG00000096401,CDC5L,Q99459
ENSG00000146731,CCT6A,P40227,ENSG00000152455,SUV39H2,Q9H5I1
ENSG00000146731,CCT6A,P40227,ENSG00000196233,LCOR,Q96JN0
ENSG00000146731,CCT6A,P40227,ENSG00000173391,OLR1,P78380
ENSG00000146731,CCT6A,P40227,ENSG00000112237,CCNC,P24863
ENSG00000144381,HSPD1,P10809,ENSG00000107816,LZTS2,Q9BRK4
ENSG00000113013,HSPA9,P38646,ENSG00000177885,GRB2,P62993
ENSG00000146731,CCT6A,P40227,ENSG00000166333,ILK,Q13418
ENSG00000146731,CCT6A,P40227,ENSG00000138071,ACTR2,P61160
ENSG00000146731,CCT6A,P40227,ENSG00000139116,KIF21A,Q7Z4S6
ENSG00000146731,CCT6A,P40227,ENSG00000126215,XRCC3,O43542
ENSG00000146731,CCT6A,P40227,ENSG00000134574,DDB2,Q92466
ENSG00000146731,CCT6A,P40227,ENSG00000136875,PRPF4,O43172
ENSG00000146731,CCT6A,P40227,ENSG00000177606,JUN,P05412
ENSG00000146731,CCT6A,P40227,ENSG00000283949,DUX4,Q9UBX2
ENSG00000146731,CCT6A,P40227,ENSG00000147400,CETN2,P41208
ENSG00000146731,CCT6A,P40227,ENSG00000172354,GNB2,P62879
ENSG00000146731,CCT6A,P40227,ENSG00000137267,TUBB2A,Q13885
ENSG00000146731,CCT6A,P40227,ENSG00000137285,TUBB2B,Q9BVA1
ENSG00000146731,CCT6A,P40227,ENSG00000145388,METTL14,Q9HCE5
ENSG00000146731,CCT6A,P40227,ENSG00000147459,DOCK5,Q9H7D0
ENSG00000146731,CCT6A,P40227,ENSG00000156475,PPP2R2B,Q00005
ENSG00000146731,CCT6A,P40227,ENSG00000131462,TUBG1,P23258
ENSG00000146731,CCT6A,P40227,ENSG00000196510,ANAPC7,Q9UJX3
ENSG00000146731,CCT6A,P40227,ENSG00000164256,PRDM9,Q9NQV7
ENSG00000146731,CCT6A,P40227,ENSG00000276561,IRF7,Q92985
ENSG00000146731,CCT6A,P40227,ENSG00000124788,ATXN1,P54253
ENSG00000146731,CCT6A,P40227,ENSG00000153233,PTPRR,Q15256
ENSG00000146731,CCT6A,P40227,ENSG00000254999,BRK1,Q8WUW1
ENSG00000146731,CCT6A,P40227,ENSG00000168283,BMI1,P35226
ENSG00000146731,CCT6A,P40227,ENSG00000104814,MAP4K1,Q92918
ENSG00000146731,CCT6A,P40227,ENSG00000101255,TRIB3,Q96RU7
ENSG00000146731,CCT6A,P40227,ENSG00000196455,PIK3R4,Q99570
ENSG00000146731,CCT6A,P40227,ENSG00000167815,PRDX2,P32119
ENSG00000146731,CCT6A,P40227,ENSG00000104695,PPP2CB,P62714
ENSG00000146731,CCT6A,P40227,ENSG00000104833,TUBB4A,P04350
ENSG00000146731,CCT6A,P40227,ENSG00000166226,CCT2,P78371
ENSG00000146731,CCT6A,P40227,ENSG00000163468,CCT3,P49368
ENSG00000146731,CCT6A,P40227,ENSG00000135624,CCT7,Q99832
ENSG00000146731,CCT6A,P40227,ENSG00000176014,TUBB6,Q9BUF5
ENSG00000146731,CCT6A,P40227,ENSG00000102699,PARP4,Q9UKK3
ENSG00000146731,CCT6A,P40227,ENSG00000092201,SUPT16H,Q9Y5B9
ENSG00000146731,CCT6A,P40227,ENSG00000101945,SUV39H1,O43463
ENSG00000146731,CCT6A,P40227,ENSG00000184216,IRAK1,P51617
ENSG00000146731,CCT6A,P40227,ENSG00000142731,PLK4,O00444
ENSG00000146731,CCT6A,P40227,ENSG00000258947,TUBB3,Q13509
ENSG00000146731,CCT6A,P40227,ENSG00000141480,ARRB2,P32121
ENSG00000146731,CCT6A,P40227,ENSG00000119383,PTPA,Q15257
ENSG00000146731,CCT6A,P40227,ENSG00000066427,ATXN3,P54252
ENSG00000146731,CCT6A,P40227,ENSG00000239672,NME1,P15531
ENSG00000146731,CCT6A,P40227,ENSG00000185338,SOCS1,O15524
ENSG00000146731,CCT6A,P40227,ENSG00000137764,MAP2K5,Q13163
ENSG00000146731,CCT6A,P40227,ENSG00000102010,BMX,P51813
ENSG00000146731,CCT6A,P40227,ENSG00000139318,DUSP6,Q16828
ENSG00000146731,CCT6A,P40227,ENSG00000120438,TCP1,P17987
ENSG00000146731,CCT6A,P40227,ENSG00000140941,MAP1LC3B,Q9GZQ8
ENSG00000146731,CCT6A,P40227,ENSG00000115484,CCT4,P50991
ENSG00000146731,CCT6A,P40227,ENSG00000150753,CCT5,P48643
ENSG00000146731,CCT6A,P40227,ENSG00000188229,TUBB4B,P68371
