gene_id,module
AC008676.3,greenyellow
AC008679.1,saddlebrown
AC008687.4,grey
AC008691.1,turquoise
AC008703.1,blue
AC008731.1,pink
AC008735.1,yellow
AC008735.2,yellow
AC008735.4,pink
AC008736.1,grey
AC008737.1,pink
AC008738.2,grey
AC008739.2,yellow
AC008739.6,pink
AC008750.4,pink
AC008751.3,ivory
AC008752.2,cyan
AC008752.3,green
AC008753.1,salmon
AC008758.4,blue
AC008759.2,yellow
AC008759.3,magenta
AC008760.1,yellow
AC008760.2,brown
AC008761.3,royalblue
AC008763.1,blue
AC008764.2,pink
AC008764.6,yellow
AC008764.8,yellow
AC008764.9,yellow
AC008770.3,darkseagreen4
AC008771.1,blue
AC008781.2,maroon
AC008798.2,darkolivegreen
AC008799.1,salmon
AC008805.1,grey
AC008806.1,grey
AC008825.1,midnightblue
AC008825.2,midnightblue
AC008840.1,grey
AC008870.2,yellow
AC008875.1,yellow
AC008875.2,brown
AC008875.3,brown
AC008883.3,grey
AC008892.1,grey
AC008894.2,pink
AC008894.3,yellow
AC008895.1,violet
AC008897.1,pink
AC008897.3,grey
AC008906.1,black
AC008906.2,pink
AC008915.2,blue
AC008937.2,pink
AC008937.3,pink
AC008945.2,turquoise
AC008946.1,black
AC008957.1,brown
AC008957.3,purple
AC008964.1,brown
AC008966.1,grey
AC008966.2,magenta
AC008966.3,grey
AC008969.1,ivory
AC008969.2,grey
AC008982.2,pink
AC009005.1,turquoise
AC009019.2,blue
AC009041.1,brown
AC009041.3,blue
AC009053.1,pink
AC009053.2,darkgreen
AC009053.3,darkgreen
AC009054.2,darkgreen
AC009061.2,yellow
AC009063.2,grey
AC009063.3,lightyellow
AC009065.2,yellow
AC009065.4,red
AC009065.5,yellow
AC009065.8,yellow
AC009078.3,pink
AC009084.2,yellow
AC009086.2,yellow
AC009088.1,yellow
AC009090.4,pink
AC009090.6,pink
AC009093.1,greenyellow
AC009093.10,grey
AC009093.2,greenyellow
AC009093.3,grey
AC009093.4,grey
AC009093.6,yellow
AC009093.8,greenyellow
AC009097.2,black
AC009102.2,blue
AC009108.1,darkgreen
AC009108.3,darkgreen
AC009113.1,cyan
AC009119.1,grey
AC009119.2,pink
AC009120.1,pink
AC009120.2,pink
AC009120.3,pink
AC009120.5,grey
AC009121.2,green
AC009121.3,grey
